katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
010692,LG-010692,"DLP takaróelem csatornához, öntapadós",501,
010695,LG-010695,"DLP rögzítővég SPIT Pulsa-hoz, 2 cm-es szöghöz",260,
010696,LG-010696,DLP takaróelem 50x105mm-es univerzális csatornához,273,
010698,LG-010698,DLP faláttörés takaró 80/105/150-es csatornához,6753,
010699,LG-010699,DLP faláttörés takaró 195/220-as csatornához,6678,
010700,LG-010700,DLP végzáró 105x50 mm-es univerzális csatornához,1049,
010701,LG-010701,DLP végzáró 105x35 mm-es univerzális csatornához,947,
010702,LG-010702,DLP végzáró 105x50 mm-es csatornához,1049,
010703,LG-010703,DLP végzáró 150x50 mm-es csatornához,2354,
010704,LG-010704,DLP végzáró 105x65 mm-es csatornához,1228,
010705,LG-010705,DLP végzáró 220x50 mm-es csatornához,2508,
010706,LG-010706,DLP végzáró 150x65 mm-es csatornához,1872,
010707,LG-010707,DLP végzáró 195x65 mm-es csatornához,2157,
010708,LG-010708,DLP végzáró 220x65 mm-es csatornához,2801,
010710,LG-010710,DLP végzáró 170x50mm-es csatornához,2051,
010711,LG-010711,DLP végzáró 195x50mm-es csatornához,2152,
010720,LG-010720,DLP végzáró 60x35/50 mm-es csatornához,1183,
010722,LG-010722,DLP végzáró 80x35/50 mm-es csatornához,1192,
010724,LG-010724,DLP végzáró 80x65 mm-es csatornához PVC,0,Megszűnt termék!
010731,LG-010731,DLP T-elem 35 mm mély csatornához,4952,
010732,LG-010732,DLP T-elem 50 mm mély csatornához,5282,
010733,LG-010733,DLP T-elem 65 mm mély csatornához,6056,
010735,LG-010735,DLP T-elem 35/50 mély 80 széles csatornához,4770,
010736,LG-010736,DLP T-elem 35/50 mély 105 széles csatornához,5582,
010737,LG-010737,DLP T-elem 35 mély 105 széles csatornához,1855,
010738,LG-010738,DLP T-elem 65 mély 105 széles csatornához,5660,
010739,LG-010739,DLP T-elem 65 mély 80 széles csatornához,5523,
010740,LG-010740,DLP T-elem 105mm szélescsatornához,1748,
010742,LG-010742,"Válaszfal elágazáshoz, 50 mm-es rekeszhez",4325,
010743,LG-010743,"Válaszfal elágazáshoz, 65 mm-es rekeszhez",5193,
010764,LG-010764,DLP állítható elágazóelem 65/85mm fedelű csatornákhoz,6773,
010765,LG-010765,DLP állítható elágazóelem kat.szám 010602 használható,7036,
010766,LG-010766,DLP kanyarelem 60x35/50 mm-es csatornához,3894,
010767,LG-010767,DLP kanyarelem 80x35/50 mm-es csatornához,4077,
010768,LG-010768,DLP lapos kanyarelem 80x65 mm-es csatornához PVC,3756,
010771,LG-010771,DLP elágazóelem 92x20 csatornából 65 fedélhez,8655,
010772,LG-010772,DLP elágazóelem 92x20 csatornából 85 fedélhez,9098,
010773,LG-010773,DLP elágazóelem 010424 csatornához,9518,
010780,LG-010780,"DLP belső könyök, LCS kiegészítő ",4617,
010781,LG-010781,"DLP külső könyök, LCS kiegészítő ",4014,
010782,LG-010782,"DLP kanyarelem, LCS kiegészítő ",5318,
010783,LG-010783,"DLP T-elem, LCS kiegészítő ",4665,
010784,LG-010784,DLP kanyarelem 105x35 mm-es csatornához,3030,
010785,LG-010785,DLP kanyarelem 105x50 mm-es csatornához,4721,
010786,LG-010786,DLP kanyarelem 105x50 mm-es csatornához,3125,
010787,LG-010787,DLP kanyarelem 105x65 mm-es csatornához,5699,
010789,LG-010789,DLP kanyarelem 150x50 mm-es csatornához,13622,
010790,LG-010790,DLP kanyarelem 150x65 mm-es csatornához,15418,
010792,LG-010792,DLP kanyarelem 195x50 mm-es csatornához,9281,
010793,LG-010793,DLP kanyarelem 195x65 mm-es csatornához,18967,
010795,LG-010795,DLP kanyarelem 220x50 mm-es csatornához,15140,
010796,LG-010796,DLP kanyarelem 220x65 mm-es csatornához,20705,
010798,LG-010798,DLP kanyarelem 170x50 mm-es csatornához,7718,Készlet erejéig!
010800,LG-010800,DLP takaróelem 40 mm széles fedélhez,895,
010801,LG-010801,DLP takaróelem 65 mm széles fedélhez,808,
010802,LG-010802,DLP takaróelem 85 mm széles fedélhez,880,
010804,LG-010804,DLP takaróelem 130 mm széles fedélhez,1865,
010806,LG-010806,DLP takaróelem 180 mm széles fedélhez,1877,
010900,LG-010900,"DLP Tempra keret, 130-as fedélhez",14082,
010905,LG-010905,"DLP Lexic 10 modulos keret, 130-as fedélhez",0,Megszűnt termék!
010910,LG-010910,"DLP Program Mosaic 1 modulos keret, 40-es fedélhez",3688,
010913,LG-010913,"DLP Ø60 szerelvénykeret, 85-ös fedélhez",1902,
010914,LG-010914,"DLP Ø60 szerelvénykeret, 130-as fedélhez",3211,
010917,LG-010917,DLP Ø60 szerelvény szigetelődoboz,1209,
010923,LG-010923,"DLP Ø60 szerelvénykeret kettős, 85-ös fedélhez",3382,
010924,LG-010924,"DLP Ø60 szerelvénykeret kettős, 130-as fedélhez",5710,
010925,LG-010925,"DLP Lexic 2 modulos keret, 65-ös fedélhez",6813,
010927,LG-010927,DLP Program Mosaic 2 modulos szigetelődoboz,1103,
010933,LG-010933,"DLP Ø60 szerelvénykeret hármas, 85-ös fedélhez",5316,
010934,LG-010934,"DLP Ø60 szerelvénykeret hármas, 130-as fedélhez",6804,
010935,LG-010935,"DLP Lexic 3 modulos keret, 85-ös fedélhez",7617,
010943,LG-010943,"DLP Ø60 szerelvénykeret négyes, 85-ös fedélhez",7273,
010944,LG-010944,"DLP Ø60 szerelvénykeret négyes, 130-as fedélhez",9478,
010952,LG-010952,"DLP Program Mosaic 2 modulos keret, 65-ös fedélhez",996,
010953,LG-010953,"DLP Program Mosaic 3 modulos keret, 65-ös fedélhez",1707,
010954,LG-010954,"DLP Program Mosaic 4 modulos keret, 65-ös fedélhez",1560,
010956,LG-010956,"DLP Program Mosaic 6 modulos keret, 65-ös fedélhez",2387,
010958,LG-010958,"DLP Program Mosaic 8 modulos keret, 65-ös fedélhez",2795,
010965,LG-010965,"DLP Lexic 6 modulos keret, 130-as fedélhez",9513,
010985,LG-010985,"DLP Lexic 8 modulos keret, 130-as fedélhez",0,Megszűnt termék!
010992,LG-010992,"DLP Program Mosaic 2 modulos keret, 85-ös fedélhez",1203,
010993,LG-010993,"DLP Program Mosaic 3 modulos keret, 85-ös fedélhez",2034,
010994,LG-010994,"DLP Program Mosaic 4 modulos keret, 85-ös fedélhez",1641,
010996,LG-010996,"DLP Program Mosaic 6 modulos keret, 85-ös fedélhez",2775,
010998,LG-010998,"DLP Program Mosaic 8 modulos keret, 85-ös fedélhez",3032,
011100,LG-011100,DLP alu csatorna 50x105 mm,30775,
011101,LG-011101,DLP alu csatorna 65x105 mm,34674,
011102,LG-011102,DLP alu csatorna 50x150 mm,42959,
011103,LG-011103,DLP alu csatorna 150x65 mm,43297,
011104,LG-011104,DLP alu csatorna 50x195 mm,48153,
011106,LG-011106,DLP alu válaszfal 50 mm fedéltartóval,10720,
011107,LG-011107,DLP alu válaszfal 65 mm fedéltartóval,8045,
