katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
410976,LG-410976,DX3 1P+N kombinált áram-védőkapcsoló B40 10000A / 10kA 30MA  AC típus,62260,
410978,LG-410978,DX3 1P+N kombinált áram-védőkapcsoló C10 10000A / 10kA 30MA AC típus,26706,
410979,LG-410979,DX3 1P+N kombinált áram-védőkapcsoló C16 10000A / 10kA 30MA AC típus,32555,
410980,LG-410980,DX3 1P+N kombinált áram-védőkapcsoló C20 10000A / 10kA 30MA AC típus,49230,
410981,LG-410981,DX3 1P+N kombinált áram-védőkapcsoló C25 10000A / 10kA 30MA AC típus,51821,
410982,LG-410982,DX3 1P+N kombinált áram-védőkapcsoló C32 10000A / 10kA 30MA AC típus,54360,
410983,LG-410983,DX3 1P+N kombinált áram-védőkapcsoló C40 10000A / 10kA 30MA AC típus,57011,
410997,LG-410997,DX3 1P+N kombinált áram-védőkapcsoló C3 6000A / 10kA 30mA AC típus,74381,
411002,LG-411002,DX3 1P+N kombinált áram-védőkapcsoló C16 6000A / 10kA 30mA AC típus,32562,
411043,LG-411043,DX3 1P+N kombinált áram-védőkapcsoló C16 6000A / 10kA 10mA A típus,55674,
411058,LG-411058,DX3 1P+N kombinált áram-védőkapcsoló C6 6000A / 10kA 30mA A típus,47317,
411059,LG-411059,DX3 1P+N kombinált áram-védőkapcsoló C10 6000A / 10kA 30mA A típus,42859,
411060,LG-411060,DX3 1P+N kombinált áram-védőkapcsoló C13 6000A / 10kA 30mA A típus,43974,
411061,LG-411061,DX3 1P+N kombinált áram-védőkapcsoló C16 6000A / 10kA 30mA A típus,43974,
411062,LG-411062,DX3 1P+N kombinált áram-védőkapcsoló C20 6000A / 10kA 30mA A típus,46478,
411063,LG-411063,DX3 1P+N kombinált áram-védőkapcsoló C25 6000A / 10kA 30mA A típus,47317,
411064,LG-411064,DX3 1P+N kombinált áram-védőkapcsoló C32 6000A / 10kA 30mA A típus,47317,
411065,LG-411065,DX3 1P+N kombinált áram-védőkapcsoló C40 6000A / 10kA 30mA A típus,50102,
411081,LG-411081,DX3 1P+N kombinált áram-védőkapcsoló C10 6000A / 10kA 300mA A típus,54938,
411083,LG-411083,DX3 1P+N kombinált áram-védőkapcsoló C16 6000A / 10kA 300mA A típus,54938,
411084,LG-411084,DX3 1P+N kombinált áram-védőkapcsoló C20 6000A / 10kA 300mA A típus,54938,
411102,LG-411102,DX3 1P+N kombinált áram-védőkapcsoló C6 6000A / 10kA 30mA A-Hpi+ ,67603,
411103,LG-411103,DX3 1P+N kombinált áram-védőkapcsoló C10 6000A / 10kA 30mA A-Hpi+ ,69040,
411104,LG-411104,DX3 1P+N kombinált áram-védőkapcsoló C13 6000A / 10kA 30mA A-Hpi+ ,70478,
411105,LG-411105,DX3 1P+N kombinált áram-védőkapcsoló C16 6000A / 10kA 30mA A-Hpi+ ,71917,
411106,LG-411106,DX3 1P+N kombinált áram-védőkapcsoló C20 6000A / 10kA 30mA A-Hpi+ ,73358,
411107,LG-411107,DX3 1P+N kombinált áram-védőkapcsoló C25 6000A / 10kA 30mA A-Hpi+ ,74794,
411108,LG-411108,DX3 1P+N kombinált áram-védőkapcsoló C32 6000A / 10kA 30mA A-Hpi+ ,76235,
411109,LG-411109,DX3 1P+N kombinált áram-védőkapcsoló C40 6000A / 10kA 30mA A-Hpi+ ,77676,
411223,LG-411223,DX3 4P kombinált áram-védőkapcsoló  B10 6000A / 10kA 30mA A típus,86654,
411224,LG-411224,DX3 4P kombinált áram-védőkapcsoló  B16 6000A / 10kA 30mA A típus,89541,
411225,LG-411225,DX3 4P kombinált áram-védőkapcsoló  B20 6000A / 10kA 30mA A típus,92434,
411226,LG-411226,DX3 4P kombinált áram-védőkapcsoló  B25 6000A / 10kA 30mA A típus,95317,
411227,LG-411227,DX3 4P kombinált áram-védőkapcsoló  B32 6000A / 10kA 30mA A típus,98210,
411228,LG-411228,DX3 4P kombinált áram-védőkapcsoló  B10 6000A / 10kA 300mA A típus,89541,
411229,LG-411229,DX3 4P kombinált áram-védőkapcsoló  B16 6000A / 10kA 300mA A típus,92434,
411230,LG-411230,DX3 4P kombinált áram-védőkapcsoló  B20 6000A / 10kA 300mA A típus,95317,
411231,LG-411231,DX3 4P kombinált áram-védőkapcsoló  B25 6000A / 10kA 300mA A típus,98210,
411232,LG-411232,DX3 4P kombinált áram-védőkapcsoló  B32 6000A / 10kA 300mA A típus,101100,
411233,LG-411233,DX3 4P kombinált áram-védőkapcsoló  C10 6000A / 10kA 30mA A típus,83521,
411234,LG-411234,DX3 4P kombinált áram-védőkapcsoló  C16 6000A / 10kA 30mA A típus,86307,
411235,LG-411235,DX3 4P kombinált áram-védőkapcsoló  C20 6000A / 10kA 30mA A típus,89093,
411236,LG-411236,DX3 4P kombinált áram-védőkapcsoló  C25 6000A / 10kA 30mA A típus,91875,
411237,LG-411237,DX3 4P kombinált áram-védőkapcsoló  C32 6000A / 10kA 30mA A típus,94663,
411238,LG-411238,DX3 4P kombinált áram-védőkapcsoló  C10 6000A / 10kA 300mA A típus,89541,
411239,LG-411239,DX3 4P kombinált áram-védőkapcsoló  C16 6000A / 10kA 300mA A típus,92434,
411240,LG-411240,DX3 4P kombinált áram-védőkapcsoló  C20 6000A / 10kA 300mA A típus,95317,
411241,LG-411241,DX3 4P kombinált áram-védőkapcsoló  C25 6000A  / 10kA300mA A típus,98210,
411242,LG-411242,DX3 4P  kombinált áram-védőkapcsoló C32 6000A / 10kA 300mA A típus,101100,
411244,LG-411244,DX3 4P  kombinált áram-védőkapcsoló C16 6000A / 10kA 30mA A-Hpi ,102973,
411245,LG-411245,DX3 4P kombinált áram-védőkapcsoló  C20 6000A / 10kA 30mA A-Hpi ,106298,
411246,LG-411246,DX3 4P  kombinált áram-védőkapcsoló C25 6000A / 10kA 30mA A-Hpi ,109617,
411247,LG-411247,DX3 4P kombinált áram-védőkapcsoló  C32 6000A / 10kA 30mA A-Hpi ,112941,
411285,LG-411285,DX3 1P+N kombinált áram-védőkapcsoló B6 10000A / 10kA 30MA A típus,63693,
411286,LG-411286,DX3 1P+N kombinált áram-védőkapcsoló B10 10000A / 10kA 30MA A típus,55674,
411287,LG-411287,DX3 1P+N kombinált áram-védőkapcsoló B13 10000A / 10kA 30MA A típus,57642,
411288,LG-411288,DX3 1P+N kombinált áram-védőkapcsoló B16 10000A / 10kA 30MA A típus,59083,
411289,LG-411289,DX3 1P+N kombinált áram-védőkapcsoló B20 10000A / 10kA 30MA A típus,59083,
411290,LG-411290,DX3 1P+N kombinált áram-védőkapcsoló B25 10000A / 10kA 30MA A típus,60407,
411291,LG-411291,DX3 1P+N kombinált áram-védőkapcsoló B32 10000A / 10kA 30MA A típus,66294,
411292,LG-411292,DX3 1P+N kombinált áram-védőkapcsoló B40 10000A / 10kA 30MA A típus,69175,
411293,LG-411293,DX3 1P+N kombinált áram-védőkapcsoló C6 10000A / 10kA 30MA A típus,66804,
411294,LG-411294,DX3 1P+N kombinált áram-védőkapcsoló C10 10000A / 10kA 30MA A típus,29584,
411295,LG-411295,DX3 1P+N kombinált áram-védőkapcsoló C13 10000A / 10kA 30MA A típus,33394,
411296,LG-411296,DX3 1P+N kombinált áram-védőkapcsoló C16 10000A / 10kA 30MA A típus,36176,
411297,LG-411297,DX3 1P+N kombinált áram-védőkapcsoló C20 10000A / 10kA 30MA A típus,54880,
411298,LG-411298,DX3 1P+N kombinált áram-védőkapcsoló C25 10000A / 10kA 30MA A típus,57586,
411299,LG-411299,DX3 1P+N kombinált áram-védőkapcsoló C32 10000A / 10kA 30MA A típus,60469,
411300,LG-411300,DX3 1P+N kombinált áram-védőkapcsoló C40 10000A / 10kA 30MA A típus,63346,
411302,LG-411302,DX3 1P+N kombinált áram-védőkapcsoló B10 10000A / 10kA 30MA  Hpi,69176,
411303,LG-411303,DX3 1P+N kombinált áram-védőkapcsoló B13 10000A / 10kA 30MA  Hpi,70617,
411304,LG-411304,DX3 1P+N kombinált áram-védőkapcsoló B16 10000A / 10kA 30MA  Hpi,72061,
411305,LG-411305,DX3 1P+N kombinált áram-védőkapcsolóR B20 10000A / 10kA 30MA  Hpi,73503,
411306,LG-411306,DX3 1P+N kombinált áram-védőkapcsoló B25 10000A / 10kA 30MA  Hpi,74943,
411310,LG-411310,DX3 1P+N kombinált áram-védőkapcsoló C10 10000A / 10kA 30MA  Hpi,69107,
411311,LG-411311,DX3 1P+N kombinált áram-védőkapcsoló C13 10000A / 10kA 30MA  Hpi,70549,
411312,LG-411312,DX3 1P+N kombinált áram-védőkapcsoló C16 10000A / 10kA 30MA  Hpi,71990,
411313,LG-411313,DX3 1P+N kombinált áram-védőkapcsoló C20 10000A / 10kA 30MA  Hpi,73432,
411314,LG-411314,DX3 1P+N kombinált áram-védőkapcsoló C25 10000A / 10kA 30MA  Hpi,74867,
411356,LG-411356,DX3 4P kombinált áram-védőkapcsoló  B13 6000A / 10kA 30mA,80875,
411357,LG-411357,DX3 4P kombinált áram-védőkapcsoló  C13 6000A / 10kA 30mA,80876,
411552,LG-411552,TX3 áram-védőkapcsoló 2P 16A 10MA A ,48707,
411559,LG-411559,TX3 áram-védőkapcsoló 2P 25A 30MA A,25867,
411560,LG-411560,TX3 áram-védőkapcsoló 2P 40A 30MA A,27545,
411561,LG-411561,TX3 áram-védőkapcsoló 2P 63A 30MA A,31442,
411562,LG-411562,TX3 áram-védőkapcsoló 2P 80A 30MA A,46062,
411564,LG-411564,TX3 áram-védőkapcsoló 2P 25A 100MA A,39239,
411565,LG-411565,TX3 áram-védőkapcsoló 2P 40A 100MA A,41188,
411566,LG-411566,TX3 áram-védőkapcsoló 2P 63A 100MA A,52690,
411567,LG-411567,TX3 áram-védőkapcsoló 2P 80A 100MA A,55280,
411574,LG-411574,TX3 áram-védőkapcsoló 2P 25A 300MA A,31442,
411575,LG-411575,TX3 áram-védőkapcsoló 2P 40A 300MA A,34783,
411576,LG-411576,TX3 áram-védőkapcsoló 2P 63A 300MA A,41742,
411577,LG-411577,TX3 áram-védőkapcsoló 2P 80A 300MA A,44005,
411579,LG-411579,TX3 áram-védőkapcsoló 2P 25A 500MA A,43185,
411580,LG-411580,TX3 áram-védőkapcsoló 2P 40A 500MA A,44619,
411587,LG-411587,TX3 áram-védőkapcsoló 2P 63A 300MA A-S ,51252,
411595,LG-411595,TX3 áram-védőkapcsoló 2P 25A 30MA A-HPI ,47593,
411596,LG-411596,TX3 áram-védőkapcsoló 2P 40A 30MA A-HPI ,45925,
411597,LG-411597,TX3 áram-védőkapcsoló 2P 63A 30MA A-HPI ,49230,
411598,LG-411598,TX3 áram-védőkapcsoló 2P 80A 30MA A-HPI ,51821,
411764,LG-411764,TX3 áram-védőkapcsoló 4P D 25A 30MA A,43711,
411765,LG-411765,TX3 áram-védőkapcsoló 4P D 40A 30MA A,43488,
411766,LG-411766,TX3 áram-védőkapcsoló 4P D 63A 30MA A,45365,
411767,LG-411767,TX3 áram-védőkapcsoló 4P D 80A 30MA A,70988,
411768,LG-411768,TX3 áram-védőkapcsoló 4P D 100A 30MA A,76561,
411774,LG-411774,TX3 áram-védőkapcsoló 4P D 25A 100MA A,55674,
411775,LG-411775,TX3 áram-védőkapcsoló 4P D 40A 100MA A,55674,
411776,LG-411776,TX3 áram-védőkapcsoló 4P D 63A 100MA A,76836,
411777,LG-411777,TX3 áram-védőkapcsoló 4P D 80A 100MA A,83521,
411778,LG-411778,TX3 áram-védőkapcsoló 4P D 100A 100MA A,89093,
411784,LG-411784,TX3 áram-védőkapcsoló 4P D 25A 300MA A,36176,
411785,LG-411785,TX3 áram-védőkapcsoló 4P D 40A 300MA A,38961,
411786,LG-411786,TX3 áram-védőkapcsoló 4P D 63A 300MA A,45648,
411787,LG-411787,TX3 áram-védőkapcsoló 4P D 80A 300MA A,52330,
411788,LG-411788,TX3 áram-védőkapcsoló 4P D 100A 300MA A,69582,
411794,LG-411794,TX3 áram-védőkapcsoló 4P D 25A 500MA A,58737,
411795,LG-411795,TX3 áram-védőkapcsoló 4P D 40A 500MA A,75733,
411796,LG-411796,TX3 áram-védőkapcsoló 4P D 63A 500MA A,79765,
411797,LG-411797,TX3 áram-védőkapcsoló 4P D 80A 500MA A,83511,
411798,LG-411798,TX3 áram-védőkapcsoló 4P D 100A 500MA A,84912,
411803,LG-411803,TX3 áram-védőkapcsoló 4P D 25A 300MA A-S,54002,
411804,LG-411804,TX3 áram-védőkapcsoló 4P D 40A 300MA A-S,54002,
411805,LG-411805,TX3 áram-védőkapcsoló 4P D 63A 300MA A-S,63746,
411806,LG-411806,TX3 áram-védőkapcsoló 4P D 80A 300MA A-S,75736,
411807,LG-411807,TX3 áram-védőkapcsoló 4P D 40A 500MA A-S,58657,
411808,LG-411808,TX3 áram-védőkapcsoló 4P D 63A 500MA A-S,69398,
411809,LG-411809,TX3 áram-védőkapcsoló 4P D 80A 500MA A-S,79525,
411814,LG-411814,TX3 áram-védőkapcsoló 4P D 25A 30MA A-HPI ,48944,
411815,LG-411815,TX3 áram-védőkapcsoló 4P D 40A 30MA A-HPI ,50375,
411816,LG-411816,TX3 áram-védőkapcsoló 4P D 63A 30MA A-HPI ,54557,
411817,LG-411817,TX3 áram-védőkapcsoló 4P D 80A 30MA A-HPI ,80918,
411821,LG-411821,TX3 áram-védőkapcsoló 4P D 63A 300MA A-HPI ,63346,
411956,LG-411956,DX3 áram-védőkapcsoló 2P 40A 30MA B,277789,
411957,LG-411957,DX3 áram-védőkapcsoló 2P 63A 30MA B,305237,
411961,LG-411961,DX3 áram-védőkapcsoló 2P 40A 300MA B,322920,
411962,LG-411962,DX3 áram-védőkapcsoló 2P 63A 300MA B,328632,
411966,LG-411966,DX3 áram-védőkapcsoló 4P D 40A 30MA B,205333,
411967,LG-411967,DX3 áram-védőkapcsoló 4P D 63A 30MA B,337841,
411971,LG-411971,DX3 áram-védőkapcsoló 4P D 40A 300MA B,322368,
411972,LG-411972,DX3 áram-védőkapcsoló 4P D 63A 300MA B,360131,
412000,LG-412000,EMDX3 univerzális mérőközpont,0,Megszűnt termék!
412002,LG-412002,"EMDX3 áramváltó Imax=90A, bontható",20197,
412004,LG-412004,"EMDX3 áramváltó Imax=60A, nem bontható",23644,
412008,LG-412008,"EMDX3 with Netatmo kiegészító: zárt áramváltó (1 fázis, max. 80A) okos fogyasztásmérő eszközökhöz",4626,
412015,LG-412015FI,"EMDX3 with Netatmo okos villamos fogyasztásmérő, 1 fázis, naplózással, zárt áramváltóval, max. In=80A, 1 DIN modul",24155,
412030,LG-412030,CX3 okos mérőközpont áramváltó nélkül,67507,
412031,LG-412031,CX3 okos mérőközpont 3 db zárt áramváltóval szállítva,81009,
412040,LG-412040,EMDX3 fogyasztásmérő impulzus kimenettel 3F 5A,151385,
412041,LG-412041,EMDX3 fogyasztásmérő 2T RS485  kimenettel 3F 5A,167227,
412042,LG-412042,EMDX3 fogyasztásmérő impulzus kimenettel 3F 5A MID,157348,
412043,LG-412043,EMDX3 fogyasztásmérő RS485  kimenettel 3F 5A MID,173096,
412051,LG-412051,EMDX3 Multifunkciós mérőműszer 4 modulos ,215749,
412052,LG-412052,EMDX3 univerzális mérőműszer 96x96x60 mm,220977,
412053,LG-412053,EMDX3 univerzális mérő ajtóra 96x96 4 slot,353150,
412055,LG-412055,EMDX3 kimeneti modul S96A-hoz RS485/JBUS/MODBUS/RTU,74159,
412057,LG-412057,"EMDX3 kimeneti modul S96A-hoz, 2 bemenet - 2 kimenet",105912,
412058,LG-412058,EMDX3 hőmérsékleti modul S96A-hoz,223590,
412059,LG-412059,EMDX3 impulzus kimeneti modul S96A-hoz,39088,
412060,LG-412060,EMDX3 analóg kimeneti modul S96A-hoz,100376,
412065,LG-412065,EMDX3 mérőkoncentrátor,244434,
412069,LG-412069,EMDX3 mérő  45A MID 1 fázisú,40000,Új termék!
412075,LG-412075,EMDX3 fogyasztásmérő 3F125A MID,209405,
412080,LG-412080,EMDX3 fogyasztásmérő impulzus kimenettel 1F 63A,105574,
412081,LG-412081,EMDX3 fogyasztásmérő 2T RS485  kimenettel 1F 63A,116664,
412082,LG-412082,EMDX3 fogyasztásmérő impulzus kimenettel 1F 63A MID,111337,
412083,LG-412083,EMDX3 fogyasztásmérő RS485  kimenettel 1F 63A MID,122470,
412090,LG-412090,EMDX3 fogyasztásmérő impulzus kimenettel 3F 63A,142865,
412091,LG-412091,EMDX3 fogyasztásmérő 2T RS485  kimenettel 3F 63A,148795,
412092,LG-412092,EMDX3 fogyasztásmérő impulzus kimenettel 3F 63A MID,148438,
412093,LG-412093,EMDX3 fogyasztásmérő RS485  kimenettel 3F 63A MID,163284,
412101,LG-412101,"Egyfázisú áramváltó 50/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",21157,
412102,LG-412102,"Egyfázisú áramváltó 75/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",21676,
412103,LG-412103,"Egyfázisú áramváltó 100/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",21938,
412104,LG-412104,"Egyfázisú áramváltó 125/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",22204,
412105,LG-412105,"Egyfázisú áramváltó 160/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",22468,
412106,LG-412106,"Egyfázisú áramváltó 200/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",22724,
412107,LG-412107,"Egyfázisú áramváltó 250/5A, (Ø21 mm) kábelhez vagy (16x12,5 mm) gyűjtősínhez",22983,
412112,LG-412112,"Egyfázisú áramváltó 400/5A, (Ø27 mm) kábelhez vagy (32,5x10,5 vagy 25,5x15,5 mm) gyűjtősínhez",24297,
412114,LG-412114,"Egyfázisú áramváltó 600/5A, (Ø27 mm) kábelhez vagy (32,5x10,5 vagy 25,5x15,5 mm) gyűjtősínhez",24556,
412116,LG-412116,"Egyfázisú áramváltó 250/5A, (Ø26 mm) kábelhez vagy (40,5x12,5 vagy 32,5x15,5 mm) gyűjtősínhez",24815,
412117,LG-412117,"Egyfázisú áramváltó 400/5A, (Ø26 mm) kábelhez vagy (40,5x12,5 vagy 32,5x15,5 mm) gyűjtősínhez",25605,
412119,LG-412119,"Egyfázisú áramváltó 700/5A, (Ø26 mm) kábelhez vagy (40,5x12,5 vagy 32,5x15,5 mm) gyűjtősínhez",26646,
412123,LG-412123,"Egyfázisú áramváltó 250/5A, (Ø32 mm) kábelhez vagy (40,5x10,5 vagy 32,5x20,5 vagy 25,5x25,5 vagy 20,5x32,5 vagy 10,5x40,5 mm) gyűjtősínhez",25605,
412124,LG-412124,"Egyfázisú áramváltó 300/5A, (Ø32 mm) kábelhez vagy (40,5x10,5 vagy 32,5x20,5 vagy 25,5x25,5 vagy 20,5x32,5 vagy 10,5x40,5 mm) gyűjtősínhez",25860,
412125,LG-412125,"Egyfázisú áramváltó 400/5A, (Ø32 mm) kábelhez vagy (40,5x10,5 vagy 32,5x20,5 vagy 25,5x25,5 vagy 20,5x32,5 vagy 10,5x40,5 mm) gyűjtősínhez",26646,
412126,LG-412126,"Egyfázisú áramváltó 600/5A, (Ø32 mm) kábelhez vagy (40,5x10,5 vagy 32,5x20,5 vagy 25,5x25,5 vagy 20,5x32,5 vagy 10,5x40,5 mm) gyűjtősínhez",27434,
412131,LG-412131,"Egyfázisú áramváltó 700/5A, (Ø40 mm) kábelhez vagy (50,5x12,5 vagy 40,5x20,5 mm) gyűjtősínhez",35539,
412132,LG-412132,"Egyfázisú áramváltó 800/5A, (Ø40 mm) kábelhez vagy (50,5x12,5 vagy 40,5x20,5 mm) gyűjtősínhez",38153,
412133,LG-412133,"Egyfázisú áramváltó 1000/5A, (Ø40 mm) kábelhez vagy (50,5x12,5 vagy 40,5x20,5 mm) gyűjtősínhez",39200,
412136,LG-412136,"Egyfázisú áramváltó 600/5A, (32x65 mm) gyűjtősínhez",57506,
412138,LG-412138,"Egyfázisú áramváltó 800/5A, (32x65 mm) gyűjtősínhez",64042,
412139,LG-412139,"Egyfázisú áramváltó 1000/5A, (32x65 mm) gyűjtősínhez",74766,
412142,LG-412142,"Egyfázisú áramváltó 1250/5A, (34x84 mm) gyűjtősínhez",95687,
412146,LG-412146,"Egyfázisú áramváltó 1600/5A, (38x127 mm) gyűjtősínhez",75811,
412147,LG-412147,"Egyfázisú áramváltó 2000/5A, (38x127 mm) gyűjtősínhez",88886,
412149,LG-412149,"Egyfázisú áramváltó 3200/5A, (38x127 mm) gyűjtősínhez",99349,
412150,LG-412150,"Egyfázisú áramváltó 1600/5A, (54x127 mm) gyűjtősínhez",91478,
412151,LG-412151,"Egyfázisú áramváltó 2000/5A, (54x127 mm) gyűjtősínhez",101650,
412152,LG-412152,"Egyfázisú áramváltó 2500/5A, (54x127 mm) gyűjtősínhez",111379,
412153,LG-412153,"Egyfázisú áramváltó 3200/5A, (54x127 mm) gyűjtősínhez",132890,
412154,LG-412154,"Egyfázisú áramváltó 4000/5A, (54x127 mm) gyűjtősínhez",146681,
412157,LG-412157,"Háromfázisú áramváltó 250/5A, (Ø8 mm) kábelhez vagy (20,5x5,5 mm) gyűjtősínhez",61428,
412158,LG-412158,"Háromfázisú áramváltó 400/5A, (20,5x5,5 mm) gyűjtősínhez",76595,
412162,LG-412162,"Nyitott magos áramváltó 400/5A, (50,5x80,5 mm) gyűjtősínhez",130728,
412163,LG-412163,"Nyitott magos áramváltó 750/5A, (50,5x80,5 mm) gyűjtősínhez",143806,
412164,LG-412164,"Nyitott magos áramváltó 1000/5A, (80,5x120,5 mm) gyűjtősínhez",169955,
412165,LG-412165,"Nyitott magos áramváltó 1500/5A, (80,5x120,5 mm) gyűjtősínhez",183032,
412166,LG-412166,"Nyitott magos áramváltó 2000/5A, (80,5x160,5 mm) gyűjtősínhez",235332,
412167,LG-412167,"Nyitott magos áramváltó 2500/5A, (80,5x160,5 mm) gyűjtősínhez",248412,
412168,LG-412168,"Nyitott magos áramváltó 3000/5A, (80,5x160,5 mm) gyűjtősínhez",274556,
412169,LG-412169,"Nyitott magos áramváltó 4000/5A, (80,5x160,5 mm) gyűjtősínhez",353011,
412170,LG-412170FI,"CX3 with Netatmo okos impulzusrelé (végrehajtó), 16AX, 230V~, 1x NO (záró kontaktus), fogyasztásméréssel, 1 DIN modul",27118,
412171,LG-412171FI,"CX3 with Netatmo okos kontaktor (végrehajtó), 20AX, 230V~, 1x NO (záró kontaktus), fogyasztásméréssel, 1 DIN modul",37038,
412172,LG-412172,"EMDX3 with Netatmo okos terhelés leválasztás vezérlő, fogyasztásméréssel, 1 DIN modul",42969,
412173,LG-412173,"CX3 with Netatmo okos vezérlőrelé (végrehajtó), potenciálmentes kontaktussal, fogyasztásméréssel, 1 DIN modul",31745,
412175,LG-412175FI,"EMDX3 with Netatmo okos villamos fogyasztásmérő, 3 fázis, naplózással, zárt áramváltóval, max. In=2-125A, 1 DIN modul",52729,
412181,LG-412181FI,"EMDX3 with Netatmo okosotthon gateway, 2,5 DIN modul",0,Megszűnt termék!
412181BFI,LG-412181BFI,"EMDX3 withNetatmo okosotthon gateway, 2,5 DIN modul",32500,Új termék!
412200,LG-412200,LEGRAND túlfeszültség-levezető TEL/adat In=10kVA Uc=180V ,15597,
412212,LG-412212,"Lexic komp. túlfeszültség-levezető T2, 20 kA, 320V AC, 1P+N jobb nulla+SD",71174,
412213,LG-412213,"Lexic komp. túlfeszültség-levezető T2, 20 kA, 320V AC, 3P+N jobb nulla+SD",132003,
412216,LG-412216,"Lexic komp. túlfeszültség-levezető T2, 40 kA, 320V AC, 1P+N jobb nulla+SD",84885,
412217,LG-412217,"Lexic komp. túlfeszültség-levezető T2, 40 kA, 320V AC, 3P+N jobb nulla+SD",126703,
412220,LG-412220,Túlfeszültség-levezető T2 20KA 1P,9136,
412221,LG-412221,Túlfeszültség-levezető T2 20KA 2P,20120,
412223,LG-412223,Túlfeszültség-levezető T2 20KA 4P,36591,
412226,LG-412226,Túlfeszültség-levezető T2 20KA 1P+N NR,28850,
412227,LG-412227,Túlfeszültség-levezető T2 20KA 3P+N NR,56728,
412230,LG-412230,Túlfeszültség-levezető T2 40KA 1P 440V,16030,
412232,LG-412232,Túlfeszültség-levezető T2 40KA 3P 440V +SD,43914,
412233,LG-412233,Túlfeszültség-levezető T2 40KA 4P 440V +SD,55813,
412240,LG-412240,Túlfeszültség-levezető T2 40KA 1P,16210,
412241,LG-412241,Túlfeszültség-levezető T2 40KA 2P,30186,
412242,LG-412242,Túlfeszültség-levezető T2 40KA 3P +SD,42633,
412243,LG-412243,Túlfeszültség-levezető T2 40KA 4P,53073,
412246,LG-412246,Túlfeszültség-levezető T2 40KA 1P+N NR,33296,
412247,LG-412247,Túlfeszültség-levezető T2 40KA 3P+N NR,58559,
412250,LG-412250,Túlfeszültség-levezető T1+T2 8KA 1P,13708,
412251,LG-412251,Túlfeszültség-levezető T1+T2 8KA 2P,26524,
412252,LG-412252,Túlfeszültség-levezető T1+T2 8KA 3P,49408,
412253,LG-412253,Túlfeszültség-levezető T1+T2 8KA 4P,73204,
412256,LG-412256,Túlfeszültség-levezető T1+T2 8KA 1P+N NR,36591,
412257,LG-412257,Túlfeszültség-levezető T1+T2 8KA 3P+N NR,78698,
412262,LG-412262,Túlfeszültség-levezető kiegészítő modullal T2 20KA 1P+N NR +SD,0,Megszűnt termék!
412263,LG-412263,Túlfeszültség-levezető kiegészítő modullal T2 20KA 3P+N NR +SD,0,Megszűnt termék!
412266,LG-412266,Túlfeszültség-levezető kiegészítő modullal T2 40KA 1P+N NR +SD,65740,Készlet erejéig!
412267,LG-412267,Túlfeszültség-levezető kiegészítő modullal T2 40KA 3P+N NR +SD,0,Megszűnt termék!
412270,LG-412270,"Túlfeszültség-levezető T1+T2 12,5KA 1P",16457,
412271,LG-412271,"Túlfeszültség-levezető T1+T2 12,5KA 2P",32015,
412272,LG-412272,"Túlfeszültség-levezető T1+T2 12,5KA 3P +SD",65881,
412273,LG-412273,"Túlfeszültség-levezető T1+T2 12,5KA 4P",78698,
412276,LG-412276,"Túlfeszültség-levezető T1+T2 12,5KA 1P+N NR +SD",41169,
412277,LG-412277,"Túlfeszültség-levezető T1+T2 12,5KA 3P+N NR +SD",92350,
412280,LG-412280,Túlfeszültség-levezető T1 35KA 1P 440V +SD,127795,
412281,LG-412281,Túlfeszültség-levezető T1 25KA 1P+N +SD,208942,
412282,LG-412282,Túlfeszültség-levezető T1 25KA 3P +SD,685335,
412283,LG-412283,Túlfeszültség-levezető T1 25KA 3P+N +SD,744378,
412284,LG-412284,Túlfeszültség-levezető cseremodul T1 25KA,109814,
412285,LG-412285,Túlfeszültség-levezető cseremodul T1 25KA N-PE,102495,
412286,LG-412286,Túlfeszültség-levezető cseremodul T1 35KA,120801,
412297,LG-412297,Túlfeszültség-levezető cseremodul T2 20KA,6024,
412298,LG-412298,Túlfeszültség-levezető cseremodul T2 20KA N-PE,12794,
412299,LG-412299,Túlfeszültség-levezető cseremodul T2 40KA,7668,
412300,LG-412300,Túlfeszültség-levezető cseremodul T2 40KA N-PE,12794,
412301,LG-412301,Túlfeszültség-levezető cseremodul T2 40KA 440V,8218,
412302,LG-412302,Túlfeszültség-levezető cseremodul T1+T2 8KA,10965,
412303,LG-412303,"Túlfeszültség-levezető cseremodul T1+T2 12,5KA",14625,
412310,LG-412310,Kábelezési készlet T1 túlfeszültség levezetőhöz,11380,
412319,LG-412319,"LEGRAND otthoni hálózatok túlfeszültség levezető T2 1,5 modul széles",0,Megszűnt termék!
412400,LG-412400,CX3 impulzusrelé 16A 230V 1Z - halk,28368,
412401,LG-412401,"CX3 impulzusrelé 16A 230V 1Z - halk, késleletett",36341,
